,Carnagie Melon University Order Guide/ Waste Sheet,,,,,,,,,0.0
,,,,,,,,,,
,Snacks,Sell
Price,Waste 1.20.15,1.20.15,Waste 1.21.15,1.21.15,Waste 1.23.15,1.23.15,Guaranteed Price,Total Due
SKU,Name,,,,,,,,,
1912.0,,,2.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0
1905.0,,,1.0,2.0,3.0,3.0,2.0,3.0,0.0,0.0
1910.0,,,0.0,2.0,3.0,5.0,3.0,5.0,0.0,0.0
1911.0,,,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,TOTAL SNACK ITEMS,,,6.0,,11.0,,14.0,0.0,0.0
,Sandwiches,Price,Waste 1.20.15,1.20.15,Waste 1.21.15,1.21.15,Waste 1.23.15,1.23.15,0.0,
,Name,,,,,,,,0.0,
1815.0,,,2.0,2.0,1.0,3.0,3.0,3.0,0.0,0.0
1809.0,,,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0
1790.0,,,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,TOTAL SANDWICHES,,,6.0,,9.0,,6.0,0.0,0.0
,Wraps,Price,Waste 1.20.15,1.20.15,Waste 1.21.15,1.21.15,Waste 1.23.15,1.23.15,0.0,
,Name,,,,,,,,0.0,
1830.0,,,1.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0
1836.0,,,0.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0
1863.0,,,0.0,2.0,0.0,3.0,1.0,3.0,0.0,0.0
1759.0,,,2.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,TOTAL WRAPS,,,8.0,,12.0,,12.0,0.0,0.0
,Salads,Price,Waste 1.20.15,1.20.15,Waste 1.21.15,1.21.15,Waste 1.23.15,1.23.15,0.0,
,Name,,,,,,,,0.0,
1753.0,,,1.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0
1883.0,,,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
1886.0,,,1.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,TOTAL SALADS,,,6.0,,9.0,,6.0,0.0,0.0
,Entrees,Price,Waste 1.20.15,1.20.15,Waste 1.21.15,1.21.15,Waste 1.23.15,1.23.15,0.0,
,Name,,,,,,,,0.0,
1915.0,,,2.0,2.0,0.0,3.0,1.0,3.0,0.0,0.0
1705.0,,,1.0,2.0,1.0,3.0,2.0,3.0,0.0,0.0
1943.0,,,1.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0
,,,,,,,,,0.0,0.0
,TOTAL ENTREES,,,6.0,,9.0,,9.0,0.0,0.0
,TOTAL ITEMS DELIVERED,,,32.0,,50.0,,47.0,,
,TOTAL ITEMS WASTED,,16.0,,8.0,,27.0,,,
