,Carnagie Melon University Order Guide/ Waste Sheet,,,,,,,,,0.0
,,,,,,,,,,
,Snacks,Sell
Price,Waste,1.5.15,Waste,1.7.15,Waste,1.9.15,Guaranteed Price,Total Due
SKU,Name,,,,,,,,,
1720.0,,,,4.0,4.0,4.0,4.0,4.0,0.0,0.0
1721.0,,,,4.0,2.0,4.0,2.0,4.0,0.0,0.0
1910.0,,,,4.0,3.0,4.0,2.0,4.0,0.0,0.0
1903.0,,,,4.0,4.0,4.0,4.0,4.0,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,TOTAL SNACK ITEMS,,,16.0,,16.0,,16.0,0.0,0.0
,Sandwiches,Price,Waste,1.5.15,Waste,1.7.15,Waste,1.9.15,0.0,
,Name,,,,,,,,0.0,
1702.0,,,,3.0,1.0,3.0,1.0,3.0,0.0,0.0
1823.0,,,,3.0,3.0,3.0,2.0,3.0,0.0,0.0
1808.0,,,,3.0,3.0,3.0,3.0,3.0,0.0,0.0
1804.0,,,,3.0,3.0,3.0,,3.0,0.0,0.0
1792.0,,,,3.0,1.0,3.0,3.0,3.0,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,TOTAL SANDWICHES,,,15.0,,15.0,,15.0,0.0,0.0
,Wraps,Price,Waste,1.5.15,Waste,1.7.15,Waste,1.9.15,0.0,
,Name,,,,,,,,0.0,
1844.0,,,,2.0,1.0,2.0,2.0,2.0,0.0,0.0
1850.0,,,,2.0,1.0,2.0,1.0,2.0,0.0,0.0
1852.0,,,,2.0,1.0,2.0,,2.0,0.0,0.0
1854.0,,,,2.0,,2.0,,2.0,0.0,0.0
1829.0,,,,2.0,,2.0,,2.0,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,TOTAL WRAPS,,,10.0,,10.0,,10.0,0.0,0.0
,Salads,Price,Waste,1.5.15,Waste,1.7.15,Waste,1.9.15,0.0,
,Name,,,,,,,,0.0,
1887.0,,,,2.0,1.0,2.0,1.0,2.0,0.0,0.0
1873.0,,,,2.0,1.0,2.0,2.0,2.0,0.0,0.0
1881.0,,,,2.0,,2.0,,2.0,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,TOTAL SALADS,,,6.0,,6.0,,6.0,0.0,0.0
,Entrees,Price,Waste,1.5.15,Waste,1.7.15,Waste,1.9.15,0.0,
,Name,,,,,,,,0.0,
1939.0,,,,3.0,3.0,3.0,3.0,3.0,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,TOTAL ENTREES,,,3.0,,3.0,,3.0,0.0,0.0
,TOTAL ITEMS DELIVERED,,,50.0,,50.0,,50.0,,
,TOTAL ITEMS WASTED,,0.0,,32.0,,30.0,,,
