,Carnagie Melon University Order Guide/ Waste Sheet,,,,,,,,,0.0
,,,,,,,,,,
,Snacks,Sell
Price,Waste 1.12.15,1.12.15,Waste 1.14.15,1.14.15,Waste 1.16.15,1.16.15,Guaranteed Price,Total Due
SKU,Name,,,,,,,,,
1759.0,,,1.0,5.0,3.0,5.0,4.0,5.0,0.0,0.0
1721.0,,,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
1910.0,,,0.0,5.0,2.0,5.0,3.0,5.0,0.0,0.0
1906.0,,,3.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,TOTAL SNACK ITEMS,,,20.0,,20.0,,20.0,0.0,0.0
,Sandwiches,Price,Waste 1.12.15,1.12.15,Waste 1.14.15,1.14.15,Waste 1.16.15,1.16.15,0.0,
,Name,,,,,,,,0.0,
1798.0,,,0.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0
1817.0,,,0.0,3.0,0.0,3.0,2.0,3.0,0.0,0.0
1795.0,,,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,TOTAL SANDWICHES,,,9.0,,9.0,,9.0,0.0,0.0
,Wraps,Price,Waste 1.12.15,1.12.15,Waste 1.14.15,1.14.15,Waste 1.16.15,1.16.15,0.0,
,Name,,,,,,,,0.0,
1825.0,,,1.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0
1849.0,,,0.0,3.0,1.0,3.0,2.0,3.0,0.0,0.0
1843.0,,,0.0,3.0,2.0,3.0,1.0,3.0,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,TOTAL WRAPS,,,9.0,,9.0,,9.0,0.0,0.0
,Salads,Price,Waste 1.12.15,1.12.15,Waste 1.14.15,1.14.15,Waste 1.16.15,1.16.15,0.0,
,Name,,,,,,,,0.0,
1872.0,,,0.0,3.0,1.0,3.0,3.0,3.0,0.0,0.0
1894.0,,,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0
1876.0,,,0.0,3.0,0.0,3.0,2.0,3.0,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,TOTAL SALADS,,,9.0,,9.0,,9.0,0.0,0.0
,Entrees,Price,Waste 1.12.15,1.12.15,Waste 1.14.15,1.14.15,Waste 1.16.15,1.16.15,0.0,
,Name,,,,,,,,0.0,
1766.0,,,1.0,3.0,2.0,3.0,0.0,3.0,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,,,,,,,,,0.0,0.0
,TOTAL ENTREES,,,3.0,,3.0,,3.0,0.0,0.0
,TOTAL ITEMS DELIVERED,,,50.0,,50.0,,50.0,,
,TOTAL ITEMS WASTED,,11.0,,24.0,,35.0,,,
