,Carnagie Melon University Order Guide/ Waste Sheet,,,,,,,,,,,,
,WEEK OF: 9.21-9.25,,68.0,,68.0,,30.0,,,,,,
,Snacks,Sell
Price,9.21.15,9.21.15,9.23.15,9.23.15,9.25.15,9.25.15,END OF WEEK TOTALS,,,,
SKU,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1910.0,,,3.0,0.0,3.0,0.0,2.0,0.0,,8.0,0.0,1.0,0.0
1721.0,,,3.0,1.0,3.0,1.0,2.0,2.0,,4.0,4.0,0.5,0.5
1902.0,,,3.0,2.0,3.0,1.0,1.0,1.0,,3.0,4.0,0.428571428571,0.571428571429
1897.0,,,3.0,1.0,3.0,2.0,1.0,0.0,,4.0,3.0,0.571428571429,0.428571428571
1903.0,,,3.0,2.0,3.0,2.0,1.0,1.0,,2.0,5.0,0.285714285714,0.714285714286
,,,,,,,,,,0.0,0.0,7,7
,TOTAL SNACK ITEMS,,15.0,6.0,15.0,6.0,7.0,4.0,,,,,
,Sandwiches,Price,9.21.15,9.21.15,9.23.15,9.23.15,9.25.15,9.25.15,,,,,
,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1815.0,,,4.0,2.0,4.0,1.0,2.0,0.0,,7.0,3.0,0.7,0.3
1816.0,,,4.0,1.0,4.0,0.0,2.0,0.0,,9.0,1.0,0.9,0.1
1819.0,,,4.0,0.0,4.0,0.0,2.0,0.0,,10.0,0.0,1.0,0.0
1795.0,,,4.0,0.0,4.0,1.0,2.0,0.0,,9.0,1.0,0.9,0.1
,,,,,,,,,,0.0,0.0,7,7
,,,,,,,,,,0.0,0.0,7,7
,,,,,,,,,,0.0,0.0,7,7
,TOTAL SANDWICHES,,16.0,3.0,16.0,2.0,8.0,0.0,,,,,
,Wraps,Price,9.21.15,9.21.15,9.23.15,9.23.15,9.25.15,9.25.15,,,,,
,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1836.0,,,3.0,0.0,3.0,0.0,1.0,0.0,,7.0,0.0,1.0,0.0
1851.0,,,3.0,0.0,3.0,0.0,1.0,0.0,,7.0,0.0,1.0,0.0
1841.0,,,3.0,0.0,3.0,0.0,1.0,0.0,,7.0,0.0,1.0,0.0
2825.0,,,3.0,0.0,3.0,0.0,1.0,0.0,,7.0,0.0,1.0,0.0
1824.0,,,3.0,0.0,3.0,0.0,1.0,0.0,,7.0,0.0,1.0,0.0
,,,,,,,,,,0.0,0.0,7,7
,,,,,,,,,,0.0,0.0,7,7
,TOTAL WRAPS,,15.0,0.0,15.0,0.0,5.0,0.0,,,,,
,Salads,Price,9.21.15,9.21.15,9.23.15,9.23.15,9.25.15,9.25.15,,,,,
,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1883.0,,,4.0,2.0,4.0,0.0,2.0,1.0,,7.0,3.0,0.7,0.3
1890.0,,,4.0,1.0,4.0,1.0,2.0,1.0,,7.0,3.0,0.7,0.3
1891.0,,,4.0,1.0,4.0,1.0,2.0,1.0,,7.0,3.0,0.7,0.3
1870.0,,,4.0,2.0,4.0,3.0,2.0,2.0,,3.0,7.0,0.3,0.7
,,,,,,,,,,0.0,0.0,7,7
,TOTAL SALADS,,16.0,6.0,16.0,5.0,8.0,5.0,,,,,
,Entrees,Price,9.21.15,9.21.15,9.23.15,9.23.15,9.25.15,9.25.15,,,,,
,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1943.0,,,3.0,0.0,3.0,1.0,1.0,1.0,,5.0,2.0,0.714285714286,0.285714285714
1945.0,,,3.0,0.0,3.0,1.0,1.0,1.0,,5.0,2.0,0.714285714286,0.285714285714
,Slow Roasted Brisket,,,,,,,,,,,,
,Cajun Tofu Gumbo,,,,,,,,,,,,
,TOTAL ENTREES,,6.0,0.0,6.0,2.0,2.0,2.0,,,,,
,Total ITEMS WASTED,,,15.0,,15.0,,11.0,,,,,
,TOTAL ITEMS DELIVERED,,68.0,,68.0,,30.0,,,,,,
***USE NEW CMU PANTRY LAB LABELS***,,,,,,,,,,,,,
